field_G,nv_index,tau_us,normalized_signal,signal_ste
49,137,42.1,0.6575395953827758,0.05126143369267075
49,137,43.3,0.5462820606681799,0.050611038533948556
49,137,44.5,0.4327305561656541,0.04991482605496959
49,172,0.2,0.06462652844231792,0.047075671843047305
49,172,1.4,0.17082004253056862,0.047639908567960375
49,172,2.6,0.3936181995392523,0.048732912596286024
49,172,3.8,0.598717437533227,0.04963605582030672
49,172,5.0,0.4456738437001593,0.04897124716096729
49,172,6.2,0.5799774056353006,0.04955748136686114
49,172,7.208,0.5091817295764666,0.049253555100760654
49,172,8.216,0.5643607123870285,0.04949140541918748
49,172,9.22,0.6237041467304627,0.04973961164395776
49,172,10.228,0.4550438596491228,0.04901348060621829
49,172,11.236,0.4602494240652133,0.04903685627397755
49,172,12.244,0.4529616338826866,0.049004112879330715
49,172,13.248,0.49356503632819443,0.049184989400715896
49,172,13.436,0.5487440191387563,0.04942478420747968
49,172,13.624,0.5966352117667908,0.04962736382917964
49,172,13.812,0.5352095516569204,0.04936660306015495
49,172,14.0,0.5706073896863371,0.04951790110730178
49,172,14.188,0.5424973418394471,0.04939798255529871
49,172,14.376,0.49981171362750304,0.04921248221251054
49,172,14.564,0.5341684387737022,0.04936211051321453
49,172,14.752,0.6341152755626444,0.049782353572045884
49,172,14.936,0.598717437533227,0.049636055820306745
49,172,15.124,0.5549906964380649,0.0494514982644838
49,172,15.312,0.5643607123870285,0.0494914054191875
49,172,15.5,0.457126085415559,0.04902283835323013
49,172,15.688,0.612251905015063,0.04969231976710921
49,172,15.876,0.556031809321283,0.04945594210109288
49,172,16.064,0.5206339712918663,0.04930348489401286
49,172,16.248,0.4873183590288852,0.049157407706311336
49,172,16.436,0.4841950203792309,0.04914358348138088
49,172,16.624,0.5310451001240474,0.04934861821486038
49,172,16.812,0.4508794081162504,0.04899473516684333
49,172,17.0,0.45920831118199523,0.049032186126079305
49,172,17.188,0.5341684387737022,0.049362110513214576
49,172,17.376,0.43942716640085067,0.04894297899876157
49,172,17.564,0.46233164983165015,0.0490461890962764
49,172,17.752,0.45920831118199523,0.04903218612607929
49,172,17.936,0.5508262449051925,0.04943369861892234
49,172,18.124,0.4612905369484314,0.04904152393047142
49,172,18.312,0.3936181995392523,0.0487329125962861
49,172,18.5,0.315534733297891,0.04836348174064524
49,172,18.688,0.3811248449406345,0.04867477156206983
49,172,18.876,0.33427476519581806,0.04845346473273049
49,172,19.064,0.2895069112174378,0.04823710848514193
49,172,19.248,0.3030413786992731,0.048303025921559564
49,172,19.436,0.14166888180046056,0.04748787743769251
49,172,19.624,0.13438109161793382,0.047449534415184784
49,172,19.812,0.23745126705653025,0.047979441204335754
49,172,20.0,0.2832602339181286,0.048206535971575544
49,172,20.188,0.27701355661882,0.048175869052611286
49,172,20.376,0.22808125110756672,0.047932358032919974
49,172,20.564,0.3519736842105264,0.04853768029694379
49,172,20.752,0.30824694311536427,0.048328261382303145
49,172,20.936,0.429016037568669,0.04889566485615783
49,172,21.124,0.6018407761828813,0.04964907579162507
49,172,21.312,0.5664429381534647,0.049500247001845056
49,172,21.5,0.6132930178982811,0.04969663098675135
49,172,21.688,0.6872120326067694,0.049996646384476345
49,172,21.876,0.6663897749424068,0.04991334303180051
49,172,22.064,0.7153220804536594,0.05010761526784184
49,172,22.248,0.753843257132731,0.050256921205793774
49,172,22.436,0.6986642743221692,0.05004206214052625
49,172,22.624,0.641403065745171,0.04981213120710373
49,172,22.812,0.5716485025695551,0.04952230858330703
49,172,23.0,0.6174574694311535,0.04971385193667931
49,172,23.188,0.5539495835548468,0.04944705199861714
49,172,23.376,0.5018939393939392,0.049221626757172544
49,172,23.564,0.5247984228247388,0.0493215675990564
49,172,23.752,0.49148281056175824,0.04917580538580238
49,172,23.936,0.4987706007442849,0.04920790624328645
49,172,24.124,0.46233164983165015,0.04904618909627636
49,172,24.312,0.37800150629098017,0.04866017903799833
49,172,24.5,0.41027600567074257,0.04880986561657203
49,172,24.688,0.4894005847953214,0.04916661148951516
49,172,24.876,0.4664961013645226,0.04906482486678472
49,172,25.064,0.5591551479709373,0.04946925904192905
49,172,25.248,0.4310982633351052,0.048905147765707604
49,172,26.284,0.5289628743576111,0.049339611127995675
49,172,27.32,0.4258926989190147,0.048881421642152444
49,172,28.356,0.5060583909268123,0.04923988629057434
49,172,29.392,0.4779483430799223,0.04911586818211946
49,172,30.428,0.6393208399787349,0.04980363520488063
49,172,31.464,0.5955940988835727,0.049623014228649405
49,172,32.5,0.5810185185185187,0.04956186709639169
49,172,33.7,0.5477029062555382,0.04942032335229128
49,172,34.9,0.5143872939925571,0.049276287286885954
49,172,36.1,0.5060583909268123,0.04923988629057436
49,172,37.3,0.43630382775119636,0.048928811099584864
49,172,38.5,0.6028818890660994,0.04965341098048414
49,172,39.7,0.47170166578061307,0.04908806362446022
49,172,40.9,0.4664961013645226,0.049064824866784734
49,172,42.1,0.5008528265107212,0.04921705571690969
49,172,43.3,0.4227693602693604,0.04886715579093925
49,172,44.5,0.42797492468545095,0.048890919632179265
49,196,0.2,0.005123284196129614,0.0408220687711482
49,196,1.4,0.05488917933700616,0.041229682727726646
49,196,2.6,0.22284907543746463,0.04253679282683693
49,196,3.8,0.33585912898653847,0.043360223470046255
49,196,5.0,0.47167855114184737,0.0442943055545771
49,196,6.2,0.5504745517815686,0.04480982510754358
49,196,7.208,0.5359594990321462,0.044716273668552076
49,196,8.216,0.5338859200679428,0.04470285756810337
49,196,9.22,0.5100397619796062,0.04454763960882799
49,196,10.228,0.5877989731372258,0.0450475052358776
49,196,11.236,0.6106083417434609,0.04519073355653936
49,196,12.244,0.5566952886741782,0.04484972568109321
49,196,13.248,0.5556584991920763,0.044843083600327745
49,196,13.436,0.46649460373133933,0.04425972386433431
49,196,13.624,0.5121133409438093,0.04456120519515259
49,196,13.812,0.5172972883543174,0.04459506204571021
49,196,14.0,0.5245548147290285,0.0446423248507954
49,196,14.188,0.5992036574403435,0.04511930970235305
49,196,14.376,0.5919461310656324,0.045073660103336556
49,196,14.564,0.523518025246927,0.04463558277563622
49,196,14.752,0.5193708673185204,0.0446085819710461
49,196,14.936,0.46753139321344084,0.04426664686092707
49,196,15.124,0.569136762459397,0.04492918125262799
49,196,15.312,0.4903407618196759,0.04441811283539101
49,196,15.5,0.4405748666787993,0.044085561825541686
49,196,15.688,0.46131065632083124,0.044225058864089596
49,196,15.876,0.41880228755466586,0.04393763801087557
49,196,16.064,0.43850128771459623,0.04407153814774197
49,196,16.248,0.41569191910836123,0.04391638376695527
49,196,16.436,0.41258155066205626,0.043895098822514786
49,196,16.624,0.47686249855235513,0.044328804129790386
49,196,16.812,0.5017454461227936,0.044493246415748484
49,196,17.0,0.5038190250869966,0.04450686436515943
49,196,17.188,0.5515113412636701,0.04481648322271585
49,196,17.376,0.7256919742567378,0.045890562564328816
49,196,17.564,0.7391702375240586,0.04597008239244677
49,196,17.752,0.6365280787960008,0.045351654506467366
49,196,17.936,0.7080665530610109,0.04578581233566779
49,196,18.124,0.6821468160084709,0.045630185810837345
49,196,18.312,0.7485013428629729,0.04602483998677825
49,196,18.5,0.6831836054905724,0.045636447235248574
49,196,18.688,0.6271969734570862,0.04529394705784779
49,196,18.876,0.5338859200679428,0.0447028575681033
49,196,19.064,0.4343541297861897,0.04404345027602368
49,196,19.248,0.48308323544496473,0.04437009298115006
49,196,19.436,0.35244776070016387,0.04347749209935905
49,196,19.624,0.2363273387047854,0.04263729219891972
49,196,19.812,0.2570631283468173,0.04279067808872093
49,196,20.0,0.30475544452349046,0.04313789345697587
49,196,20.188,0.26639423368573156,0.042859219564871036
49,196,20.376,0.08599286380005419,0.04147959996981517
49,196,20.564,0.1896718120102135,0.04228669743289687
49,196,20.752,0.21559154906275346,0.04248241528940417
49,196,20.936,0.34622702380755427,0.043433622220527074
49,196,21.124,0.31512333934450654,0.043212360913598466
49,196,21.312,0.27779891798884926,0.04294258893606122
49,196,21.5,0.3265280236476239,0.04329386162254033
49,196,21.688,0.3503741817359608,0.04346288288741404
49,196,21.876,0.39599291894843086,0.04378105876969481
49,196,22.064,0.4302069718577835,0.04401530829660556
49,196,22.248,0.5141869199080128,0.044574757720610224
49,196,22.436,0.43746449823249467,0.04406452124674891
49,196,22.624,0.48204644596286317,0.04436321978387841
49,196,22.812,0.43746449823249467,0.04406452124674886
49,196,23.0,0.46338423528503464,0.04423893487390864
49,196,23.188,0.5048558145690982,0.044513668423327206
49,196,23.376,0.4136183401441581,0.04390219721791937
49,196,23.564,0.44783239305351047,0.04413453856260331
49,196,23.752,0.46545781424923777,0.04425279753534207
49,196,23.936,0.46338423528503464,0.044238934873908675
49,196,24.124,0.47375213010605044,0.04430811494758305
49,196,24.312,0.46131065632083124,0.04422505886408962
49,196,24.5,0.429170182375682,0.044008264335264544
49,196,24.688,0.47271534062394893,0.04430121191259969
49,196,24.876,0.497598288194387,0.04446597114243271
49,196,25.064,0.45405312994612007,0.044176387529440655
49,196,25.248,0.3783674977527039,0.043658925310999734
49,196,26.284,0.5473641833352636,0.04478983148928118
49,196,27.32,0.5318123411037398,0.044689428530551634
49,196,28.356,0.5950564995119371,0.04509324312047177
49,196,29.392,0.47375213010605044,0.04430811494758308
49,196,30.428,0.5224812357648254,0.04462883745155646
49,196,31.464,0.5846886046909212,0.04502785590371219
49,196,32.5,0.5504745517815686,0.04480982510754359
49,196,33.7,0.544253814888959,0.04476980893177889
49,196,34.9,0.4861936038912697,0.044390692733557786
49,196,36.1,0.36177886603907816,0.04354305973897142
49,196,37.3,0.32445444468342083,0.043279075427129214
49,196,38.5,0.5152237093901143,0.04458152908923595
49,196,39.7,0.4903407618196759,0.04441811283539096
49,196,40.9,0.4841200249270663,0.04437696287082893
49,196,42.1,0.47789928803445697,0.04433569388811221
49,196,43.3,0.6323809208675943,0.0453260377829167
49,196,44.5,0.5805414467625147,0.045001612481231454
